Date,Search Popularity
2020-02-15,54
2020-02-16,59
2020-02-17,50
2020-02-18,40
2020-02-19,38
2020-02-20,36
2020-02-21,39
2020-02-22,49
2020-02-23,55
2020-02-24,40
2020-02-25,38
2020-02-26,36
2020-02-27,41
2020-02-28,43
2020-02-29,51
2020-03-01,57
2020-03-02,44
2020-03-03,37
2020-03-04,36
2020-03-05,37
2020-03-06,40
2020-03-07,52
2020-03-08,55
2020-03-09,40
2020-03-10,37
2020-03-11,36
2020-03-12,37
2020-03-13,45
2020-03-14,68
2020-03-15,69
2020-03-16,53
2020-03-17,60
2020-03-18,68
2020-03-19,72
2020-03-20,70
2020-03-21,94
2020-03-22,100
2020-03-23,72
2020-03-24,73
2020-03-25,70
2020-03-26,66
2020-03-27,71
2020-03-28,98
2020-03-29,95
2020-03-30,70
2020-03-31,71
2020-04-01,69
2020-04-02,66
2020-04-03,71
2020-04-04,86
2020-04-05,89
2020-04-06,61
2020-04-07,60
2020-04-08,60
2020-04-09,62
2020-04-10,70
2020-04-11,80
2020-04-12,80
2020-04-13,63
2020-04-14,57
2020-04-15,55
2020-04-16,58
2020-04-17,63
2020-04-18,84
2020-04-19,89
2020-04-20,74
2020-04-21,68
2020-04-22,68
2020-04-23,66
2020-04-24,67
2020-04-25,81
2020-04-26,84
2020-04-27,62
2020-04-28,57
2020-04-29,58
2020-04-30,58
2020-05-01,60
2020-05-02,78
2020-05-03,80
2020-05-04,61
2020-05-05,56
2020-05-06,59
2020-05-07,56
2020-05-08,60
2020-05-09,69
2020-05-10,70
2020-05-11,55
2020-05-12,53
2020-05-13,54
2020-05-14,51
2020-05-15,55
2020-05-16,64
2020-05-17,66
2020-05-18,53
2020-05-19,51
2020-05-20,51
2020-05-21,51
2020-05-22,54
2020-05-23,66
2020-05-24,68
2020-05-25,68
2020-05-26,52
2020-05-27,51
2020-05-28,50
2020-05-29,49
2020-05-30,57
